Partido/Coligação,Candidato,Número de votos,Tempo,Gasto declarado ,Tempo em segundos,NR_CANDIDATO
Republicanos,Alexandre Tadeu Tô Contigo,5378,0:00:37,"381440,72",37,10
Nova Força,Bruno Calil,32673,0:00:55,"903324,64",55,77
Reviva Campos,Caio Vianna,68732,0:02:17,"3002000,00",137,12
PSDB,Carla Waleska,1269,0:00:36,"35166,80",36,45
PMN,Claudio Rangel,1057,0:00:05,"39675,50",5,33
PMB,Jonathan Paes,1267,0:00:05,"0,00",5,35
Campos das Resistências,Natália,11622,0:00:16,"74802,44",16,50
PT,Odisseia,4664,0:01:04,"110000,00",64,13
A Coragem Precisa Vencer,Rafael Diniz,13530,0:01:07,"447482,85",67,23
PCdoB,Roberto Henriques,1357,0:00:16,"85139,58",16,65
Um Governo de Verdade,Wladimir Garotinho,106526,0:02:37,,157,55